,Y,X
0,352,237
1,352,236
2,352,235
3,352,234
4,352,233
5,352,232
6,352,231
7,352,230
8,351,239
9,351,238
10,351,237
11,351,236
12,351,235
13,351,234
14,351,233
15,351,232
16,351,231
17,351,230
18,351,229
19,350,241
20,350,240
21,350,239
22,350,238
23,350,237
24,350,236
25,350,235
26,350,234
27,350,233
28,350,232
29,350,231
30,350,230
31,350,229
32,350,228
33,349,245
34,349,244
35,349,243
36,349,242
37,349,241
38,349,240
39,349,239
40,349,238
41,349,237
42,349,236
43,349,235
44,349,234
45,349,233
46,349,232
47,349,231
48,349,230
49,349,229
50,349,228
51,349,227
52,348,249
53,348,248
54,348,247
55,348,246
56,348,245
57,348,244
58,348,243
59,348,242
60,348,241
61,348,240
62,348,239
63,348,238
64,348,237
65,348,231
66,348,230
67,348,229
68,348,228
69,348,227
70,348,226
71,347,252
72,347,251
73,347,250
74,347,249
75,347,248
76,347,247
77,347,246
78,347,245
79,347,244
80,347,243
81,347,242
82,347,241
83,347,240
84,347,239
85,347,230
86,347,229
87,347,228
88,347,227
89,347,226
90,347,225
91,346,253
92,346,252
93,346,251
94,346,250
95,346,249
96,346,248
97,346,247
98,346,246
99,346,245
100,346,244
101,346,243
102,346,242
103,346,228
104,346,227
105,346,226
106,346,225
107,345,254
108,345,253
109,345,252
110,345,251
111,345,250
112,345,249
113,345,248
114,345,247
115,345,246
116,345,228
117,345,227
118,345,226
119,345,225
120,345,224
121,344,255
122,344,254
123,344,253
124,344,252
125,344,251
126,344,250
127,344,227
128,344,226
129,344,225
130,344,224
131,343,256
132,343,255
133,343,254
134,343,253
135,343,252
136,343,251
137,343,227
138,343,226
139,343,225
140,343,224
141,343,223
142,343,222
143,342,257
144,342,256
145,342,255
146,342,254
147,342,253
148,342,252
149,342,226
150,342,225
151,342,224
152,342,223
153,342,222
154,342,221
155,341,257
156,341,256
157,341,255
158,341,254
159,341,253
160,341,225
161,341,224
162,341,223
163,341,222
164,341,221
165,341,220
166,340,258
167,340,257
168,340,256
169,340,255
170,340,254
171,340,224
172,340,223
173,340,222
174,340,221
175,340,220
176,340,219
177,339,259
178,339,258
179,339,257
180,339,256
181,339,255
182,339,223
183,339,222
184,339,221
185,339,220
186,339,219
187,339,218
188,338,260
189,338,259
190,338,258
191,338,257
192,338,256
193,338,222
194,338,221
195,338,220
196,338,219
197,338,218
198,338,217
199,338,216
200,337,261
201,337,260
202,337,259
203,337,258
204,337,257
205,337,256
206,337,220
207,337,219
208,337,218
209,337,217
210,337,216
211,337,215
212,336,262
213,336,261
214,336,260
215,336,259
216,336,258
217,336,257
218,336,219
219,336,218
220,336,217
221,336,216
222,336,215
223,336,214
224,335,262
225,335,261
226,335,260
227,335,259
228,335,258
229,335,218
230,335,217
231,335,216
232,335,215
233,335,214
234,335,213
235,334,263
236,334,262
237,334,261
238,334,260
239,334,259
240,334,217
241,334,216
242,334,215
243,334,214
244,334,213
245,334,212
246,333,264
247,333,263
248,333,262
249,333,261
250,333,260
251,333,216
252,333,215
253,333,214
254,333,213
255,333,212
256,332,265
257,332,264
258,332,263
259,332,262
260,332,261
261,332,214
262,332,213
263,332,212
264,332,211
265,331,266
266,331,265
267,331,264
268,331,263
269,331,262
270,331,261
271,331,214
272,331,213
273,331,212
274,331,211
275,330,266
276,330,265
277,330,264
278,330,263
279,330,262
280,330,213
281,330,212
282,330,211
283,330,210
284,329,267
285,329,266
286,329,265
287,329,264
288,329,263
289,329,213
290,329,212
291,329,211
292,329,210
293,328,268
294,328,267
295,328,266
296,328,265
297,328,264
298,328,212
299,328,211
300,328,210
301,328,209
302,327,269
303,327,268
304,327,267
305,327,266
306,327,265
307,327,212
308,327,211
309,327,210
310,327,209
311,326,269
312,326,268
313,326,267
314,326,266
315,326,265
316,326,211
317,326,210
318,326,209
319,326,208
320,325,270
321,325,269
322,325,268
323,325,267
324,325,266
325,325,211
326,325,210
327,325,209
328,325,208
329,324,271
330,324,270
331,324,269
332,324,268
333,324,267
334,324,210
335,324,209
336,324,208
337,324,207
338,323,272
339,323,271
340,323,270
341,323,269
342,323,268
343,323,210
344,323,209
345,323,208
346,323,207
347,322,273
348,322,272
349,322,271
350,322,270
351,322,269
352,322,268
353,322,209
354,322,208
355,322,207
356,322,206
357,321,273
358,321,272
359,321,271
360,321,270
361,321,269
362,321,209
363,321,208
364,321,207
365,321,206
366,320,274
367,320,273
368,320,272
369,320,271
370,320,270
371,320,208
372,320,207
373,320,206
374,320,205
375,319,274
376,319,273
377,319,272
378,319,271
379,319,208
380,319,207
381,319,206
382,319,205
383,318,274
384,318,273
385,318,272
386,318,271
387,318,207
388,318,206
389,318,205
390,318,204
391,317,275
392,317,274
393,317,273
394,317,272
395,317,207
396,317,206
397,317,205
398,317,204
399,316,275
400,316,274
401,316,273
402,316,272
403,316,207
404,316,206
405,316,205
406,316,204
407,316,203
408,315,275
409,315,274
410,315,273
411,315,272
412,315,206
413,315,205
414,315,204
415,315,203
416,314,276
417,314,275
418,314,274
419,314,273
420,314,272
421,314,206
422,314,205
423,314,204
424,314,203
425,314,202
426,313,276
427,313,275
428,313,274
429,313,273
430,313,205
431,313,204
432,313,203
433,313,202
434,312,276
435,312,275
436,312,274
437,312,273
438,312,205
439,312,204
440,312,203
441,312,202
442,312,201
443,311,276
444,311,275
445,311,274
446,311,273
447,311,204
448,311,203
449,311,202
450,311,201
451,310,277
452,310,276
453,310,275
454,310,274
455,310,204
456,310,203
457,310,202
458,310,201
459,310,200
460,309,277
461,309,276
462,309,275
463,309,274
464,309,203
465,309,202
466,309,201
467,309,200
468,308,277
469,308,276
470,308,275
471,308,274
472,308,203
473,308,202
474,308,201
475,308,200
476,307,277
477,307,276
478,307,275
479,307,274
480,307,202
481,307,201
482,307,200
483,307,199
484,306,278
485,306,277
486,306,276
487,306,275
488,306,202
489,306,201
490,306,200
